product,category,is_perishable,shelf_life_days,description
Baby Food,Household & Family,True,270,Prepared or formulated food products intended for infants and toddlers.
Beverages,Food & Grocery,True,180,"Non-alcoholic drinks including juices, soft drinks, and bottled water."
Cereal,Food & Grocery,False,365,"Breakfast grain products such as cornflakes, oats, and granola."
Clothes,Apparel,False,1825,Ready-to-wear garments and textile accessories for adults and children.
Cosmetics,Personal Care,False,730,"Skincare, makeup, and grooming products for personal use."
Fruits,Food & Grocery,True,14,Fresh whole fruits sold by weight or unit.
Household,Home Goods,False,3650,"Cleaning supplies, kitchenware, and general home-maintenance items."
Meat,Food & Grocery,True,10,"Fresh or frozen animal protein products including beef, poultry, and pork."
Office Supplies,Business & Office,False,3650,"Stationery and administrative supplies such as paper, pens, and folders."
Personal Care,Personal Care,False,730,"Hygiene products including soap, shampoo, and oral care items."
Snacks,Food & Grocery,False,270,"Packaged snack foods such as chips, crackers, and cookies."
Vegetables,Food & Grocery,True,14,Fresh whole vegetables sold by weight or unit.
